soil_type,ph,moisture,temperature,rainfall,crop
1,6.5,22.2,26.5,1450,Rice
1,6.2,25.0,28.2,1500,Rice
1,5.8,24.5,27.0,1350,Rice
1,6.7,21.0,25.8,1400,Rice
2,6.0,23.8,29.0,1300,Rice
1,6.5,18.5,18.5,450,Wheat
1,6.8,16.0,16.2,500,Wheat
1,7.2,17.2,15.0,420,Wheat
3,6.2,19.0,19.8,550,Wheat
3,6.6,15.5,17.5,480,Wheat
1,6.8,15.0,24.5,750,Maize
1,6.5,16.2,22.8,800,Maize
3,6.9,14.8,26.0,700,Maize
3,6.7,15.5,25.2,680,Maize
2,7.2,14.2,23.1,820,Maize
3,5.5,10.5,28.5,600,Groundnut
3,5.8,11.2,27.2,550,Groundnut
3,5.4,12.0,26.8,580,Groundnut
1,6.0,11.8,29.0,620,Groundnut
5,6.2,9.5,30.5,500,Groundnut
5,7.5,10.0,32.0,350,Millet
5,7.8,8.5,34.5,300,Millet
5,8.1,9.2,33.0,400,Millet
3,6.8,12.0,31.2,450,Millet
3,6.5,11.4,30.0,420,Millet
1,6.5,30.0,28.0,2100,Sugarcane
1,6.8,32.5,26.5,2300,Sugarcane
2,7.2,31.0,29.2,1950,Sugarcane
2,6.9,29.5,27.8,2000,Sugarcane
1,6.7,31.8,28.5,2200,Sugarcane
2,6.2,24.0,24.5,950,Cotton
2,6.5,25.5,26.2,1000,Cotton
2,6.8,23.8,25.0,1100,Cotton
2,6.4,24.7,27.3,850,Cotton
3,6.3,20.1,23.8,900,Cotton
1,6.0,18.5,16.5,500,Barley
1,6.2,19.0,15.2,450,Barley
1,6.5,20.0,17.0,520,Barley
5,7.2,14.2,18.0,400,Barley
5,7.0,15.6,14.8,380,Barley
1,6.8,28.0,29.5,1800,Banana
1,6.5,29.5,28.0,2000,Banana
1,6.3,28.8,27.2,1900,Banana
2,6.6,27.5,30.5,1750,Banana
3,6.4,26.2,28.8,1650,Banana
3,6.0,17.5,24.0,850,Soybean
3,6.2,18.0,25.5,900,Soybean
1,6.5,19.2,23.2,780,Soybean
1,6.3,18.5,22.8,820,Soybean
2,6.4,17.0,26.1,880,Soybean
3,5.8,12.0,27.5,650,Peanut
3,6.0,12.5,26.0,620,Peanut
3,6.2,13.0,28.2,700,Peanut
1,6.5,11.5,29.0,680,Peanut
5,6.6,10.2,30.1,580,Peanut
1,6.5,21.0,23.5,1100,Tomato
1,6.8,22.0,25.0,1200,Tomato
3,6.2,20.5,22.0,1050,Tomato
3,6.0,19.8,24.2,980,Tomato
1,6.4,21.4,21.5,1150,Tomato
1,5.8,18.0,19.0,1200,Potato
1,6.2,19.0,17.5,1300,Potato
1,6.5,20.0,16.0,1250,Potato
3,5.5,17.2,20.5,1100,Potato
3,6.0,18.5,18.2,1150,Potato
1,6.0,16.0,22.0,650,Onion
1,6.2,17.0,20.5,700,Onion
1,6.5,18.0,24.0,600,Onion
3,6.6,15.2,21.2,620,Onion
3,6.3,16.5,23.0,680,Onion
4,5.5,24.0,22.5,1900,Coffee
4,5.2,25.0,21.0,2000,Coffee
4,5.8,26.0,24.2,2200,Coffee
4,5.4,24.2,23.0,1850,Coffee
3,5.7,23.5,20.8,1950,Coffee
4,5.2,22.0,16.5,2500,Tea
4,4.8,23.0,15.0,2700,Tea
4,5.5,24.0,18.2,2400,Tea
4,5.0,22.5,17.0,2600,Tea
3,5.4,21.8,19.0,2300,Tea
